id,born,bornIn,died,imdbId,name,poster,tmdbId,url,actor,director
9816,1877-02-04,France,1954-01-01,2083046.0,François Lallement,,1271225,https://themoviedb.org/person/1271225,1,0
9817,1862-01-01,,1926-01-01,6170115.0,Jules-Eugène Legris,,1602569,https://themoviedb.org/person/1602569,1,0
9818,1893-10-14,"Springfield, Ohio, USA",1993-02-27,1273.0,Lillian Gish,https://image.tmdb.org/t/p/w440_and_h660_face/6DCWtvv654sc8p2OPnxGbKvl2qC.jpg,8828,https://themoviedb.org/person/8828,1,0
9819,1894-11-09,"Madrid, New Mexico Territory , USA",1968-02-13,550615.0,Mae Marsh,https://image.tmdb.org/t/p/w440_and_h660_face/wEHHFF2Tq2Z1BlRRr27SOcUW3pu.jpg,8829,https://themoviedb.org/person/8829,1,0
9820,1878-03-16,"Shelby County, Alabama, USA",1936-06-17,910400.0,Henry B. Walthall,https://image.tmdb.org/t/p/w440_and_h660_face/5RZtgV7iFQFvVijQJzNFzViAEu8.jpg,8830,https://themoviedb.org/person/8830,1,0
9821,1891-11-07,,1976-04-12,178270.0,Miriam Cooper,https://image.tmdb.org/t/p/w440_and_h660_face/kl8SwHKsjvJkaHnWUInhFLhLSVw.jpg,8831,https://themoviedb.org/person/8831,1,0
9822,,,,360132.0,Dan Hanlon,,105947,https://themoviedb.org/person/105947,1,0
9823,,,,671728.0,Edna Pendleton,,105951,https://themoviedb.org/person/105951,1,0
9824,1885-08-26,"Toledo, Ohio, USA",1938-09-14,72911.0,Curtis Benton,,105942,https://themoviedb.org/person/105942,1,0
9825,1888-08-03,"San Francisco, California, USA",1923-11-20,392709.0,Allen Holubar,,105948,https://themoviedb.org/person/105948,1,0
9826,1868-04-16,"Edinburgh, Scotland, UK",1933-02-26,14894.0,Spottiswoode Aitken,,8835,https://themoviedb.org/person/8835,1,0
9827,1883-06-18,"New York City, New York, USA",1946-07-02,17488.0,Mary Alden,https://image.tmdb.org/t/p/w440_and_h660_face/tksV05qljP9YoLJ44ajq5Rw2QAL.jpg,8832,https://themoviedb.org/person/8832,1,0
9828,,,,,Frank Bennett,,1647611,https://themoviedb.org/person/1647611,1,0
9830,1895-10-21,"Paradise Valley, Nevada, USA",1958-01-11,701012.0,Edna Purviance,https://image.tmdb.org/t/p/w440_and_h660_face/2uEZFOiUMPtctVbAnhf86OR6jQa.jpg,21301,https://themoviedb.org/person/21301,1,0
9831,1879-04-26,,1917-12-20,132444.0,Eric Campbell,,21303,https://themoviedb.org/person/21303,1,0
9832,1882-12-13,"Birmingham, England",1953-08-17,42317.0,Albert Austin,https://image.tmdb.org/t/p/w440_and_h660_face/ztUZFA4xxiuppjUf7O8oR6xK5bs.jpg,21306,https://themoviedb.org/person/21306,1,0
